licence,nom,prenom,ville,club_nom,club_ville,points_elo,rang_national,rang_ligue,rang_comite,classement_officiel,niveau_categorie,nombre_matchs,victoires,defaites,nationalite
397804,ARUNA,Quadri,,PONTOISE CERGY A.S.,,4235.0,9,2,2,Numéroté national (Top),avance,22,9,13,européenne
5625022,PITCHFORD,Liam,,PONTOISE CERGY A.S.,,4131.0,11,4,4,Numéroté national (Top),avance,0,0,0,européenne
7650409,PUCAR,Tomislav,,ASSOC. TENNIS DE TABLE DU HAVRE,,2786.0,5,2,2,Nationale 1,avance,16,13,3,européenne
5737136,SZOCS,Hunor,,NICE CAVIGAL TENNIS DE TABLE,,2771.0,44,3,1,Nationale 1,avance,19,10,9,européenne
323546,DE NODREST,Leo,,ISSY-LES-MOULINEAUX,,2496.0,29,14,3,Nationale 1,avance,0,0,0,française
3538863,ALAMIYAN,Noshad,,THORIGNE-FOUILLARD T.T.,,2392.0,14,6,1,Nationale 1,avance,18,10,8,étrangère
7415557,VEPA,Chaitanya,,US ST EGREVE T.T.,,2363.0,137,24,8,Nationale 1,avance,12,8,4,européenne
6112821,TURRINI,Rafael,,T.T.Haguenau Wissembourg,,2299.0,59,2,1,Nationale 1,avance,21,20,1,européenne
7859214,SCHMIDT,Lucas,,MONTESSON TT,,2258.0,297,106,12,Nationale 1,avance,12,12,0,française
407349,TAUBER,Michael,,JS CUGNAUX/VILLENEUVE TOLOSANE,,2183.0,85,9,1,Nationale 2,avance,32,21,11,européenne
3323029,RUIZ,Romain,,SQY PING,,2180.0,19,6,1,Nationale 2,avance,0,0,0,française
5018587,PASQUETTE,Aurelien,,CESSON O.C.,,2156.0,86,11,5,Nationale 2,avance,84,69,15,française
9418485,SOBANIA,Axel,,STE LUCE T.T.,,2120.0,404,43,17,Nationale 2,avance,30,21,9,française
7520253,COLLINET,Clara,,FONTENAYSIENNE Union Sportive TT,,2096.0,40,18,1,Nationale 2,avance,52,36,16,française
068958,ADEYEMI,Samsondeem,,MONTFORT T.T.,,2071.0,0,0,0,Nationale 2,avance,3,3,0,française
7821815,SAUL,Pénélope,,VERSAILLES SCTT,,2050.0,89,45,2,Nationale 2,avance,29,11,18,française
323029,WANG,Yanan,,ARGENTAN BAYARD,,2041.0,23,4,1,Nationale 2,avance,0,0,0,étrangère
9231265,LEMONIZ,Mario,,RUEIL ATHLETIC CLUB TT,,2027.0,316,110,41,Nationale 2,avance,33,20,13,française
6812623,MAMALIGA,Andreea,,MULHOUSE TENNIS DE TABLE,,2027.0,75,17,2,Nationale 2,avance,17,11,6,européenne
9316896,PAVADE,Prithika,,SAINT-DENIS TT93,,2025.0,2,1,1,Nationale 2,avance,15,10,5,française
3529035,AILLARD,Jordan,,RENNES TOUR D AUVERGNE,,2025.0,705,53,20,Nationale 2,avance,34,20,14,française
9435085,CHOMIS,Chloé,,BOIS COLOMBES SPORTS,,2024.0,120,59,20,Nationale 2,avance,17,8,9,française
394331,BERTHAUD,Marion,,LEVALLOIS SPORTING CLUB TT,,2023.0,42,20,8,Nationale 2,avance,64,42,22,française
7526346,MOLIN,Maxyme,,JUMP,,2023.0,711,213,14,Nationale 2,avance,111,64,47,française
9533931,CHENE,Theo,,EAUBONNE CSM TT,,2021.0,323,116,16,Nationale 2,avance,67,52,15,française
349173,OUAZANA,Olivier,,CHARCOT STE FOY LES LYON,,2021.0,556,67,11,Nationale 2,avance,28,18,10,française
7650440,ZANG,Xiaotong,,ALCL TT GRAND QUEVILLY,,2020.0,19,3,3,Nationale 2,avance,13,9,4,étrangère
7631897,PORET,Thibault,,SPO ROUEN Tennis de Table,,2020.0,5,1,1,Nationale 2,avance,24,16,8,française
734513,BERGE,Sarah,,ESPERANCE REUILLY,,2020.0,93,47,7,Nationale 2,avance,6,6,0,française
9242202,CHAMBET-WEIL,Remi,,NANTES ST MEDARD DOULON,,2020.0,160,24,9,Nationale 2,avance,54,40,14,française
7629462,MARIE,Nicolas,,US C BOIS GUILLAUME,,2018.0,227,37,21,Nationale 2,avance,51,46,5,française
023747,NOUVIAN,Pascal,,VENIZEL TT,,2018.0,581,115,10,Nationale 2,avance,20,13,7,française
6717360,BOOS,Alexandre,,T.T.Haguenau Wissembourg,,2018.0,874,88,23,Nationale 2,avance,29,8,21,française
9518335,LE MEVEL,Baptiste,,HERBLAY ASTT,,2016.0,595,186,19,Nationale 2,avance,44,28,16,française
7618957,LESEUR,Antoine,,SPO ROUEN Tennis de Table,,2016.0,815,100,47,Nationale 2,avance,22,3,19,française
936993,YONG,Denis,,T.T.Haguenau Wissembourg,,2016.0,778,78,20,Nationale 2,avance,25,16,9,française
112503,SIMON,Christophe,,GIGEAN ASM,,2015.0,507,41,14,Nationale 2,avance,35,25,10,française
9442756,DAYCARD FLEURY,Angeline,,VINCENNOIS TT,,2015.0,179,75,15,Nationale 2,avance,79,52,27,française
337861,CONJAT,Adrien,,CA BEGLAIS,,2015.0,255,22,8,Nationale 2,avance,15,15,0,française
6228945,MASSELOT,Robin,,ANNOEULLIN TT,,2014.0,987,158,74,Nationale 2,avance,233,186,47,française
323161,XU,Ji Peng,,CP AUSCITAIN,,2014.0,145,15,1,Nationale 2,avance,2,2,0,française
9131520,PERLA,Ruben,,PLESSIS-TREVISE TENNIS DE TABLE,,2014.0,,,,Nationale 2,avance,,,,française
4433758,PIETROPAOLI,Julien,,THIAIS AS TT,,2014.0,88,33,2,Nationale 2,avance,41,31,10,française
5945361,DASSONVILLE,Remi,,HAUBOURDIN CTT,,2013.0,389,88,42,Nationale 2,avance,53,39,14,française
7846941,BAUDRIER,Valentin,,ISSY-LES-MOULINEAUX,,2012.0,778,225,62,Nationale 2,avance,30,21,9,française
5987717,DAUNAROVICH,Pavel,,CHESNAY 78 AS,,2012.0,151,76,5,Nationale 2,avance,37,32,5,étrangère
9421985,AUQUIERE,Nicolas,,AL VILLECRESNES TENNIS DE TABLE,,2011.0,641,197,27,Nationale 2,avance,36,29,7,française
747504,GARNIER,Anthony,,VILLEFRANCHE TTCAV,,2011.0,716,81,14,Nationale 2,avance,44,32,12,française
681755,PINGENAT,Laurent,,ILLKIRCH GRAFFENSTADEN AP,,2009.0,842,85,22,Nationale 2,avance,30,30,0,française
3838172,MATYJEK,Karol,,US ST EGREVE T.T.,,2008.0,260,99,30,Nationale 2,avance,3,3,0,européenne
9544489,FALANA,Samuel,,ERMONT PLESSIS BOUCHARD,,2007.0,263,243,23,Nationale 2,avance,,,,étrangère
335038,BADET,Julien,,CSMF PARIS TT,,2006.0,867,248,23,Nationale 2,avance,0,0,0,française
7621485,COSTARD,Emile,,JUMP,,2006.0,778,225,17,Nationale 2,avance,30,15,15,française
7621913,BOUMEDOUHA,Karim,,BLAINVILLE CREVON,,2005.0,870,104,49,Nationale 2,avance,21,21,0,française
83866,GEMINIANI,Anthony,,A.S. MONACO,,2005.0,141,26,10,Nationale 2,avance,31,21,10,française
3532217,LEVALOIS,Martin,,CESSON O.C.,,2005.0,930,62,28,Nationale 2,avance,26,17,9,française
645675,BETELU,Remi,,4S TOURS T.T.,,2004.0,35,5,1,Nationale 2,avance,25,15,10,française
9254489,SK HOSSEIN,Zayyan Bin Sheik Gha,,EAUBONNE CSM TT,,2003.0,265,255,24,Nationale 2,avance,40,17,23,étrangère
9240953,PAULY PROST,Amelie,,TennisTable Municipal Chatillon,,2003.0,60,27,11,Nationale 2,avance,26,23,3,française
9416730,CRESSON,Margot,,ELANCOURT CTT,,2003.0,74,36,1,Nationale 2,avance,3,3,0,française
4432844,BOHEAS,Mateo,,RP FOUESNANT,,2003.0,101,14,1,Nationale 2,avance,38,28,10,française
4926667,CHEN,Tianyuan,,ROMAGNE (LA) - S.S.,,2001.0,10,3,3,Nationale 2,avance,20,10,10,française
7634929,JEZEQUEL,Tanguy,,US C BOIS GUILLAUME,,2001.0,790,94,45,Nationale 2,avance,51,43,8,française
6918561,CRISTINI,Anthony,,VAL D'OZON TENNIS DE TABLE,,2001.0,850,101,18,Nationale 2,avance,35,26,9,française
9470430,DE VITO,Simone,,VINCENNOIS TT,,2000.0,264,253,37,Nationale 2,avance,5,3,2,européenne
6928823,NUNEZ DIRMENT,Vanessa,,STRASBOURG RC,,2000.0,169,30,8,Nationale 2,avance,35,26,9,française
