club_nom,pays,url
A S VIETNAM,France,https://www.google.com/maps/search/?api=1&query=%22A+S+VIETNAM%22+tennis+de+table+France
ALLIANZ ASC,France,https://www.google.com/maps/search/?api=1&query=%22ALLIANZ+ASC%22+tennis+de+table+France
AP 17,France,https://www.google.com/maps/search/?api=1&query=%22AP+17%22+tennis+de+table+France
APSAP PARIS,France,https://www.google.com/maps/search/?api=1&query=%22APSAP+PARIS%22+tennis+de+table+France
AS BANQUE DE FRANCE,France,https://www.google.com/maps/search/?api=1&query=%22AS+BANQUE+DE+FRANCE%22+tennis+de+table+France
AS FFTT,France,https://www.google.com/maps/search/?api=1&query=%22AS+FFTT%22+tennis+de+table+France
AS PONGISTES 8eme,France,https://www.google.com/maps/search/?api=1&query=%22AS+PONGISTES+8eme%22+tennis+de+table+France
AS RUSSE,France,https://www.google.com/maps/search/?api=1&query=%22AS+RUSSE%22+tennis+de+table+France
ASC BNP PARIBAS,France,https://www.google.com/maps/search/?api=1&query=%22ASC+BNP+PARIBAS%22+tennis+de+table+France
ASORTF,France,https://www.google.com/maps/search/?api=1&query=%22ASORTF%22+tennis+de+table+France
ASPTT GRAND PARIS,France,https://www.google.com/maps/search/?api=1&query=%22ASPTT+GRAND+PARIS%22+tennis+de+table+France
ASSOC.TENNIS DE TABLE PARIS XVe,France,https://www.google.com/maps/search/?api=1&query=%22ASSOC.TENNIS+DE+TABLE+PARIS+XVe%22+tennis+de+table+France
Assoc. Patronage Sainte Melanie,France,https://www.google.com/maps/search/?api=1&query=%22Assoc.+Patronage+Sainte+Melanie%22+tennis+de+table+France
CPS 10eme,France,https://www.google.com/maps/search/?api=1&query=%22CPS+10eme%22+tennis+de+table+France
CSMF PARIS TT,France,https://www.google.com/maps/search/?api=1&query=%22CSMF+PARIS+TT%22+tennis+de+table+France
EP 15,France,https://www.google.com/maps/search/?api=1&query=%22EP+15%22+tennis+de+table+France
ESPERANCE REUILLY,France,https://www.google.com/maps/search/?api=1&query=%22ESPERANCE+REUILLY%22+tennis+de+table+France
J A M PARIS 14e,France,https://www.google.com/maps/search/?api=1&query=%22J+A+M+PARIS+14e%22+tennis+de+table+France
JUMP,France,https://www.google.com/maps/search/?api=1&query=%22JUMP%22+tennis+de+table+France
PARIS 13 TENNIS DE TABLE,France,https://www.google.com/maps/search/?api=1&query=%22PARIS+13+TENNIS+DE+TABLE%22+tennis+de+table+France
PARIS IX ATT,France,https://www.google.com/maps/search/?api=1&query=%22PARIS+IX+ATT%22+tennis+de+table+France
PING PARIS 14,France,https://www.google.com/maps/search/?api=1&query=%22PING+PARIS+14%22+tennis+de+table+France
SPORTING PARIS 20 TT,France,https://www.google.com/maps/search/?api=1&query=%22SPORTING+PARIS+20+TT%22+tennis+de+table+France
150 AÑOS - DON BENITO,Espagne,https://www.google.com/maps/search/?api=1&query=%22150+A%C3%91OS+-+DON+BENITO%22+tenis+de+mesa+Espa%C3%B1a
ABADIÑO,Espagne,https://www.google.com/maps/search/?api=1&query=%22ABADI%C3%91O%22+tenis+de+mesa+Espa%C3%B1a
ADX MILAGROSA,Espagne,https://www.google.com/maps/search/?api=1&query=%22ADX+MILAGROSA%22+tenis+de+mesa+Espa%C3%B1a
ALBACETE,Espagne,https://www.google.com/maps/search/?api=1&query=%22ALBACETE%22+tenis+de+mesa+Espa%C3%B1a
ALCOBENDAS,Espagne,https://www.google.com/maps/search/?api=1&query=%22ALCOBENDAS%22+tenis+de+mesa+Espa%C3%B1a
ALCUDIA,Espagne,https://www.google.com/maps/search/?api=1&query=%22ALCUDIA%22+tenis+de+mesa+Espa%C3%B1a
ALICANTE TM,Espagne,https://www.google.com/maps/search/?api=1&query=%22ALICANTE+TM%22+tenis+de+mesa+Espa%C3%B1a
ALMENDRALEJO,Espagne,https://www.google.com/maps/search/?api=1&query=%22ALMENDRALEJO%22+tenis+de+mesa+Espa%C3%B1a
ALUCHE,Espagne,https://www.google.com/maps/search/?api=1&query=%22ALUCHE%22+tenis+de+mesa+Espa%C3%B1a
ANTONIO MENDOZA,Espagne,https://www.google.com/maps/search/?api=1&query=%22ANTONIO+MENDOZA%22+tenis+de+mesa+Espa%C3%B1a
