club_nom,pays,url,latitude,longitude
 FTT COMPERTRIX,France,https://www.google.com/maps/search/?api=1&query=%22+FTT+COMPERTRIX%22+tennis+de+table+France,48.936249,4.350666
1. FC Köln 01/07 e.V.,Allemagne,https://www.google.com/maps/search/?api=1&query=%221.+FC+K%C3%B6ln+01%2F07+e.V.%22+Tischtennis+Deutschland,50.557117,7.136606
1. FC Saarbrücken-TT,Allemagne,https://www.google.com/maps/search/?api=1&query=%221.+FC+Saarbr%C3%BCcken-TT%22+Tischtennis+Deutschland,49.210168,7.114146
1. FSV Mainz 05 e. V.,Allemagne,https://www.google.com/maps/search/?api=1&query=%221.+FSV+Mainz+05+e.+V.%22+Tischtennis+Deutschland,49.984513,8.223995
150 AÑOS - DON BENITO,Espagne,https://www.google.com/maps/search/?api=1&query=%22150+A%C3%91OS+-+DON+BENITO%22+tenis+de+mesa+Espa%C3%B1a,38.954027,-5.861947
4S TOURS T.T.,France,https://www.google.com/maps/search/?api=1&query=%224S+TOURS+T.T.%22+tennis+de+table+France,47.381638,0.666396
7 ILES TT,France,https://www.google.com/maps/search/?api=1&query=%227+ILES+TT%22+tennis+de+table+France,48.810976,-3.444724
A AMICALE COURONNAISE,France,https://www.google.com/maps/search/?api=1&query=%22A+AMICALE+COURONNAISE%22+tennis+de+table+France,49.391336,1.028490
A L ST MARTIN LE VINOUX,France,https://www.google.com/maps/search/?api=1&query=%22A+L+ST+MARTIN+LE+VINOUX%22+tennis+de+table+France,45.211732,5.699923
A M S L FREJUS,France,https://www.google.com/maps/search/?api=1&query=%22A+M+S+L+FREJUS%22+tennis+de+table+France,43.428693,6.729974
A S  THYMERAIS CHATEAUNEUF,France,https://www.google.com/maps/search/?api=1&query=%22A+S++THYMERAIS+CHATEAUNEUF%22+tennis+de+table+France,48.583344,1.244390
A S BRETEUIL,France,https://www.google.com/maps/search/?api=1&query=%22A+S+BRETEUIL%22+tennis+de+table+France,44.099732,4.108425
A S C LAGNIEU,France,https://www.google.com/maps/search/?api=1&query=%22A+S+C+LAGNIEU%22+tennis+de+table+France,45.891345,5.333904
A S P O CHATEAUROUX,France,https://www.google.com/maps/search/?api=1&query=%22A+S+P+O+CHATEAUROUX%22+tennis+de+table+France,46.807432,1.697352
A S SAINT RAPHAEL,France,https://www.google.com/maps/search/?api=1&query=%22A+S+SAINT+RAPHAEL%22+tennis+de+table+France,43.428983,6.802813
A S T T VALLAURIS-GOLFE JUAN,France,https://www.google.com/maps/search/?api=1&query=%22A+S+T+T+VALLAURIS-GOLFE+JUAN%22+tennis+de+table+France,43.579966,7.054320
A S VIETNAM,France,https://www.google.com/maps/search/?api=1&query=%22A+S+VIETNAM%22+tennis+de+table+France,48.829115,2.358200
A S VILLENAVE T T,France,https://www.google.com/maps/search/?api=1&query=%22A+S+VILLENAVE+T+T%22+tennis+de+table+France,46.808870,1.700300
A U O PONT DE ROIDE,France,https://www.google.com/maps/search/?api=1&query=%22A+U+O+PONT+DE+ROIDE%22+tennis+de+table+France,47.382414,6.768107
A. LESCARIENNE TT,France,https://www.google.com/maps/search/?api=1&query=%22A.+LESCARIENNE+TT%22+tennis+de+table+France,43.330933,-0.441975
A. MIREFLEURS TT,France,https://www.google.com/maps/search/?api=1&query=%22A.+MIREFLEURS+TT%22+tennis+de+table+France,45.696663,3.229564
A. P. BARPAISE,France,https://www.google.com/maps/search/?api=1&query=%22A.+P.+BARPAISE%22+tennis+de+table+France,46.808870,1.700300
A.C. AMBOISE TENNIS DE TABLE,France,https://www.google.com/maps/search/?api=1&query=%22A.C.+AMBOISE+TENNIS+DE+TABLE%22+tennis+de+table+France,47.400463,1.014973
A.C.O.S.TILLIERES/AVRE,France,https://www.google.com/maps/search/?api=1&query=%22A.C.O.S.TILLIERES%2FAVRE%22+tennis+de+table+France,48.758679,1.055585
A.J.K. VANNES,France,https://www.google.com/maps/search/?api=1&query=%22A.J.K.+VANNES%22+tennis+de+table+France,47.643804,-2.771116
A.L. LUSSAT tennis de table,France,https://www.google.com/maps/search/?api=1&query=%22A.L.+LUSSAT+tennis+de+table%22+tennis+de+table+France,45.835911,3.217759
A.P. PLUNERET/MERIADEC,France,https://www.google.com/maps/search/?api=1&query=%22A.P.+PLUNERET%2FMERIADEC%22+tennis+de+table+France,47.676697,-2.957510
A.P. ST SENOCH,France,https://www.google.com/maps/search/?api=1&query=%22A.P.+ST+SENOCH%22+tennis+de+table+France,47.046435,0.968366
A.S MONTLOUIS-SUR-LOIRE,France,https://www.google.com/maps/search/?api=1&query=%22A.S+MONTLOUIS-SUR-LOIRE%22+tennis+de+table+France,47.387688,0.830115
