licence,nom,prenom,ville,club_nom,club_ville,points_elo,rang_national,rang_ligue,rang_comite,classement_officiel,niveau_categorie,nombre_matchs,victoires,defaites
,JHA,Kanak,,USA National Team (USATT),,57757,1,1,,US National Team Men (Top),avance,,,
,WANG,Amy,,Texas Smash,,54500,2,1,,Pro MLTT + National Team Top,avance,,,
,MOYLAND,Sally,,USA National Team (USATT),,43116,3,2,,US National Team Women (Top),avance,,,
,ZHANG,Lily,,Bay Area Blasters,,39502,4,3,,Pro MLTT + National Team Top,avance,,,
,NARESH,Nandan,,Texas Smash,,38593,5,2,,Pro MLTT + National Team Top,avance,,,
,REYES-LAI,Jessica,,USA National Team (USATT),,34641,6,4,,US National Team Women (Top),avance,,,
,YEOH,Irene,,USA National Team (USATT),,30943,7,5,,US National Team Women (Top),avance,,,
,PIYADASA,Tashiya,,USA National Team (USATT),,26268,8,6,,US National Team Women,avance,,,
,WANG,Mendy,,USA National Team (USATT),,25070,9,7,,US National Team Women,avance,,,
,TRAN,Daniel,,Chicago Wind,,24840,10,3,,Pro MLTT (Major League),avance,,,
,LIANG,Jishan,,USA National Team (USATT),,24603,11,4,,US National Team Men,avance,,,
,LUO,Alex,,USA National Team (USATT),,24520,12,5,,US National Team Men,avance,,,
,ASPATHI,Satya,,USA National Team (USATT),,21848,13,3,,US Junior National Team,avance,,,
,SHETH,Ved,,Los Angeles Spinners,,21679,14,6,,Pro MLTT (Major League),avance,,,
,CHEN,Hildy,,USA National Team (USATT),,19190,15,8,,US National Team Women,avance,,,
,YU,Mandy,,USA National Team (USATT),,18968,16,9,,US National Team Women,avance,,,
,NARESH,Sid,,Portland Paddlers,,18703,17,7,,Pro MLTT (Major League),avance,,,
,ZHANG,Xiangjing,,USA National Team (USATT),,17601,18,8,,US National Team Men,avance,,,
,LEBAKA,Nishant,,USA National Team (USATT),,16439,19,9,,US National Team Men,avance,,,
,KUMAR,Nikhil,,Portland Paddlers,,15970,20,10,,Pro MLTT (Major League),avance,,,
,MA,Lilian,,USA National Team (USATT),,15600,21,4,,US Junior National Team,avance,,,
,CAO,Andrew,,Los Angeles Spinners,,14206,22,11,,Pro MLTT (Major League),avance,,,
