licence,nom,prenom,ville,club_nom,club_ville,points_elo,rang_national,rang_ligue,rang_comite,classement_officiel,niveau_categorie,nombre_matchs,victoires,defaites
,WANG,Chuqin,,山东魏桥·向尚运动,,,1,,,中乒超 (Super League pro),avance,,,
,LIANG,Jingkun,,山东魏桥·向尚运动,,,2,,,中乒超 (Super League pro),avance,,,
,HUANG,Youzheng,,山东魏桥·向尚运动,,,3,,,中乒超 (Super League pro),avance,,,
,ZHOU,Qihao,,山东魏桥·向尚运动,,,4,,,中乒超 (Super League pro),avance,,,
,YU,Ziyang,,山东魏桥·向尚运动,,,5,,,中乒超 (Super League pro),avance,,,
,LIN,Yun-Ju,,山东魏桥·向尚运动,,,6,,,中乒超 (Super League pro),avance,,,
,LIN,Shidong,,黄石基地·华新,,,7,,,中乒超 (Super League pro),avance,,,
,XIANG,Peng,,黄石基地·华新,,,8,,,中乒超 (Super League pro),avance,,,
,XUE,Fei,,黄石基地·华新,,,9,,,中乒超 (Super League pro),avance,,,
,LIU,Guancheng,,黄石基地·华新,,,10,,,中乒超 (Super League pro),avance,,,
,HU,Chang,,黄石基地·华新,,,11,,,中乒超 (Super League pro),avance,,,
,LIN,Gaoyuan,,汕头明润,,,12,,,中乒超 (Super League pro),avance,,,
,XU,Haidong,,汕头明润,,,13,,,中乒超 (Super League pro),avance,,,
,CHEN,Yuanyu,,汕头明润,,,14,,,中乒超 (Super League pro),avance,,,
,LI,Yijie,,汕头明润,,,15,,,中乒超 (Super League pro),avance,,,
,李和宸,,,汕头明润,,,16,,,中乒超 (Super League pro),avance,,,
,HUANG,Xunan,,汕头明润,,,17,,,中乒超 (Super League pro),avance,,,
,FAN,Zhendong,,上海地产集团,,,18,,,中乒超 (Super League pro),avance,,,
,XU,Xin,,上海地产集团,,,19,,,中乒超 (Super League pro),avance,,,
,ZHOU,Kai,,上海地产集团,,,20,,,中乒超 (Super League pro),avance,,,
,ZHAO,Zihao,,上海地产集团,,,21,,,中乒超 (Super League pro),avance,,,
,SUN,Zheng,,上海地产集团,,,22,,,中乒超 (Super League pro),avance,,,
,ZHAO,Zhaoyan,,上海地产集团,,,23,,,中乒超 (Super League pro),avance,,,
,XU,Yingbin,,山东鲁能,,,24,,,中乒超 (Super League pro),avance,,,
,YUAN,Licen,,山东鲁能,,,25,,,中乒超 (Super League pro),avance,,,
,YAN,An,,山东鲁能,,,26,,,中乒超 (Super League pro),avance,,,
,LIU,Dingshuo,,山东鲁能,,,27,,,中乒超 (Super League pro),avance,,,
,唐乙仁,,,山东鲁能,,,28,,,中乒超 (Super League pro),avance,,,
,MATSUSHIMA,Sora,,山东鲁能,,,29,,,中乒超 (Super League pro),avance,,,
,SUN,Wen,,四川丰谷,,,30,,,中乒超 (Super League pro),avance,,,
,YAN,Sheng,,四川丰谷,,,31,,,中乒超 (Super League pro),avance,,,
,CHEN,Junsong,,四川丰谷,,,32,,,中乒超 (Super League pro),avance,,,
,WONG,Chun Ting,,四川丰谷,,,33,,,中乒超 (Super League pro),avance,,,
,QUAN,Kaiyuan,,江苏中超电缆·迎福台,,,34,,,中乒超 (Super League pro),avance,,,
,LIANG,Yanning,,江苏中超电缆·迎福台,,,35,,,中乒超 (Super League pro),avance,,,
,林晨,,,江苏中超电缆·迎福台,,,36,,,中乒超 (Super League pro),avance,,,
,李天阳,,,江苏中超电缆·迎福台,,,37,,,中乒超 (Super League pro),avance,,,
,宋卓衡,,,江苏中超电缆·迎福台,,,38,,,中乒超 (Super League pro),avance,,,
,WOO,Joon-Cheol,,江苏中超电缆·迎福台,,,39,,,中乒超 (Super League pro),avance,,,
,NIU,Guankai,,安徽中程单招基地,,,40,,,中乒超 (Super League pro),avance,,,
,WEN,Ruibo,,安徽中程单招基地,,,41,,,中乒超 (Super League pro),avance,,,
,陶育畅,,,安徽中程单招基地,,,42,,,中乒超 (Super League pro),avance,,,
,宁贤坤,,,安徽中程单招基地,,,43,,,中乒超 (Super League pro),avance,,,
,KOEN,Pang,,安徽中程单招基地,,,44,,,中乒超 (Super League pro),avance,,,
,敖华磊,,,广东陈静俱乐部,,,45,,,中乒超 (Super League pro),avance,,,
,ZHOU,Yu,,广东陈静俱乐部,,,46,,,中乒超 (Super League pro),avance,,,
,费浚航,,,广东陈静俱乐部,,,47,,,中乒超 (Super League pro),avance,,,
,王阳,,,广东陈静俱乐部,,,48,,,中乒超 (Super League pro),avance,,,
,陈颢桦,,,广东陈静俱乐部,,,49,,,中乒超 (Super League pro),avance,,,
,WANG,Manyu,,山东鲁能,,,50,,,中乒超 (Super League pro),avance,,,
,CHEN,Xingtong,,山东鲁能,,,51,,,中乒超 (Super League pro),avance,,,
,QIAN,Tianyi,,山东鲁能,,,52,,,中乒超 (Super League pro),avance,,,
,徐奕,,,山东鲁能,,,53,,,中乒超 (Super League pro),avance,,,
,SUN,Yingsha,,深圳大学,,,54,,,中乒超 (Super League pro),avance,,,
,KUAI,Man,,深圳大学,,,55,,,中乒超 (Super League pro),avance,,,
,QIN,Yuxuan,,深圳大学,,,56,,,中乒超 (Super League pro),avance,,,
,HIRANO,Miu,,深圳大学,,,57,,,中乒超 (Super League pro),avance,,,
,YANG,Yiyun,,上海龙腾,,,58,,,中乒超 (Super League pro),avance,,,
,HE,Zhuojia,,上海龙腾,,,59,,,中乒超 (Super League pro),avance,,,
,刘炜珊,,,上海龙腾,,,60,,,中乒超 (Super League pro),avance,,,
,CHEN,Yi,,上海龙腾,,,61,,,中乒超 (Super League pro),avance,,,
,SUN,Mingyang,,上海龙腾,,,62,,,中乒超 (Super League pro),avance,,,
,易爱川,,,上海龙腾,,,63,,,中乒超 (Super League pro),avance,,,
,HAN,Feier,,黄石基地·华新,,,64,,,中乒超 (Super League pro),avance,,,
,姚睿轩,,,黄石基地·华新,,,65,,,中乒超 (Super League pro),avance,,,
,WANG,Tianyi,,黄石基地·华新,,,66,,,中乒超 (Super League pro),avance,,,
,SHIN,Yubin,,黄石基地·华新,,,67,,,中乒超 (Super League pro),avance,,,
,KIHARA,Miyu,,黄石基地·华新,,,68,,,中乒超 (Super League pro),avance,,,
,WANG,Yidi,,华东理工大学,,,69,,,中乒超 (Super League pro),avance,,,
,WANG,Xiaotong,,华东理工大学,,,70,,,中乒超 (Super League pro),avance,,,
,李雅可,,,华东理工大学,,,71,,,中乒超 (Super League pro),avance,,,
,梁家怡,,,华东理工大学,,,72,,,中乒超 (Super League pro),avance,,,
,张翔宇,,,华东理工大学,,,73,,,中乒超 (Super League pro),avance,,,
,金梦妍,,,华东理工大学,,,74,,,中乒超 (Super League pro),avance,,,
,YUAN,Yuan,,成都高新若水居,,,75,,,中乒超 (Super League pro),avance,,,
,冷雨桐,,,成都高新若水居,,,76,,,中乒超 (Super League pro),avance,,,
,李雨琪,,,成都高新若水居,,,77,,,中乒超 (Super League pro),avance,,,
,GAO,Yuxin,,成都高新若水居,,,78,,,中乒超 (Super League pro),avance,,,
,向俊霖,,,成都高新若水居,,,79,,,中乒超 (Super League pro),avance,,,
,HARIMOTO,Miwa,,成都高新若水居,,,80,,,中乒超 (Super League pro),avance,,,
,杨硕,,,耐普股份,,,81,,,甲A联赛 (Major League — top),intermediaire,,,
,郑培锋,,,耐普股份,,,82,,,甲A联赛 (Major League — top),intermediaire,,,
,王崧岳,,,耐普股份,,,83,,,甲A联赛 (Major League — top),intermediaire,,,
,CHEN,Junsong,,耐普股份,,,84,,,甲A联赛 (Major League — top),intermediaire,,,
,王家程,,,耐普股份,,,85,,,甲A联赛 (Major League — top),intermediaire,,,
,陈恒达,,,北京市先农坛,,,86,,,甲A联赛 (Major League — top),intermediaire,,,
,孙炜翔,,,北京市先农坛,,,87,,,甲A联赛 (Major League — top),intermediaire,,,
,黄友皓,,,北京市先农坛,,,88,,,甲A联赛 (Major League — top),intermediaire,,,
,华磊,,,北京市先农坛,,,89,,,甲A联赛 (Major League — top),intermediaire,,,
,孙杨,,,北京市先农坛,,,90,,,甲A联赛 (Major League — top),intermediaire,,,
,朱毅,,,南京东大智能米粒一队,,,91,,,甲A联赛 (Major League — top),intermediaire,,,
,麒凯,,,南京东大智能米粒一队,,,92,,,甲A联赛 (Major League — top),intermediaire,,,
,于何一,,,南京东大智能米粒一队,,,93,,,甲A联赛 (Major League — top),intermediaire,,,
,刘津豪,,,南京东大智能米粒一队,,,94,,,甲A联赛 (Major League — top),intermediaire,,,
,杨天诺,,,南京东大智能米粒一队,,,95,,,甲A联赛 (Major League — top),intermediaire,,,
